iter	MAE	RMSE
504	0.2054221154	0.3290972261
505	0.2051755266	0.3285183151
506	0.2049544645	0.3279882546
507	0.2046466479	0.3275218105
508	0.2042294946	0.3270474164
509	0.2039247167	0.326633781
510	0.2034493302	0.3260972206
511	0.2033029	0.3257439768
512	0.2031686337	0.3253988564
513	0.2029690348	0.3248429273
514	0.2028406761	0.3244888032
515	0.2026520974	0.323961509
516	0.2021942112	0.323311806
517	0.201927381	0.32260268
518	0.2017842426	0.3222887493
519	0.2014318743	0.3217674986
520	0.2011963388	0.3211872222
521	0.2009303012	0.3207226193
522	0.2006686502	0.320173699
523	0.200442157	0.3197836441
524	0.2001082918	0.3192706496
525	0.1996514805	0.3186874728
526	0.1994963525	0.3182361795
527	0.198903028	0.3176422037
528	0.198620838	0.3170013221
529	0.1982377541	0.3165698214
530	0.1981149085	0.3162370362
531	0.1979652583	0.3159077494
532	0.197653925	0.3152203697
533	0.1975183614	0.3147885003
534	0.1972495138	0.314122901
535	0.1970038952	0.3134147909
536	0.1968302524	0.3129991973
537	0.1967151504	0.3126632373
538	0.1965389107	0.3122029438
539	0.1963896694	0.3118935683
540	0.1960918322	0.3113497353
541	0.1958541583	0.3108679233
542	0.1955195332	0.3102738671
543	0.195219325	0.3098460093
544	0.1945994477	0.3092043924
545	0.1942922542	0.3087693945
546	0.1939417865	0.3082122239
547	0.1937103475	0.307669004
548	0.1934584163	0.3070729847
549	0.1933062663	0.3066805927
550	0.192750667	0.3060906007
551	0.1925620569	0.3055903601
552	0.1923764008	0.305189858
553	0.1922789735	0.304930715
554	0.1920002356	0.3044457255
555	0.1916862791	0.3039405558
556	0.1911393931	0.3034246715
557	0.190838527	0.3028515232
558	0.1906134325	0.3023703623
559	0.1904403321	0.3019815128
560	0.1903501083	0.3017099567
561	0.1900417436	0.3012312724
562	0.1898301282	0.300719066
563	0.1897212096	0.300475103
564	0.1895587555	0.3000929803
565	0.1892995981	0.2994812282
566	0.1889714782	0.299094065
567	0.1887119293	0.2985515669
568	0.1884750615	0.2980890046
569	0.1882998121	0.2977348471
570	0.1880276471	0.2971198248
571	0.187909855	0.2968635112
572	0.1878243041	0.2966291123
573	0.1874608792	0.2962828651
574	0.1873764005	0.2960740001
575	0.1871015241	0.2955367173
